data_venda,cliente,produto,quantidade,forma_pagamento,preco_unitario,valor_total,categoria
2024-05-12 06:00:00,Cliente 43,Banana Split,3,Pix,18.0,54.0,Sobremesa
2024-05-26 03:00:00,Cliente 80,Açaí Bowl,2,Cartão Crédito,22.0,44.0,Açaí
2024-02-05 20:00:00,Cliente 194,Banana Split,2,Cartão Crédito,18.0,36.0,Sobremesa
2024-02-23 22:00:00,Cliente 162,Milkshake,2,Pix,12.0,24.0,Bebida
2024-02-17 02:00:00,Cliente 8,Açaí 300ml,3,Pix,10.0,30.0,Açaí
2024-02-15 15:00:00,Cliente 141,Milkshake,1,Cartão Crédito,12.0,12.0,Bebida
2024-05-08 20:00:00,Cliente 106,Açaí 700ml,3,Pix,20.0,60.0,Açaí
2024-03-09 06:00:00,Cliente 8,Milkshake,3,Cartão Crédito,12.0,36.0,Bebida
2024-03-31 09:00:00,Cliente 96,Açaí 700ml,1,Cartão Débito,20.0,20.0,Açaí
2024-01-20 10:00:00,Cliente 94,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-02-21 14:00:00,Cliente 65,Açaí 300ml,2,Cartão Crédito,10.0,20.0,Açaí
2024-01-14 18:00:00,Cliente 171,Açaí 500ml,1,Pix,15.0,15.0,Açaí
2024-03-02 18:00:00,Cliente 39,Açaí Bowl,1,Cartão Crédito,22.0,22.0,Açaí
2024-03-29 23:00:00,Cliente 81,Açaí 300ml,1,Pix,10.0,10.0,Açaí
2024-05-23 12:00:00,Cliente 187,Açaí Bowl,1,Dinheiro,22.0,22.0,Açaí
2024-05-12 03:00:00,Cliente 84,Banana Split,2,Dinheiro,18.0,36.0,Sobremesa
2024-05-01 15:00:00,Cliente 88,Banana Split,2,Pix,18.0,36.0,Sobremesa
2024-01-06 10:00:00,Cliente 86,Milkshake,1,Dinheiro,12.0,12.0,Bebida
2024-03-11 05:00:00,Cliente 93,Açaí 700ml,1,Pix,20.0,20.0,Açaí
2024-05-20 20:00:00,Cliente 86,Sorvete Casquinha,2,Pix,5.0,10.0,Sorvete
2024-02-02 01:00:00,Cliente 44,Sorvete Casquinha,2,Cartão Débito,5.0,10.0,Sorvete
2024-04-09 15:00:00,Cliente 137,Açaí Bowl,1,Cartão Débito,22.0,22.0,Açaí
2024-03-04 03:00:00,Cliente 165,Açaí 700ml,3,Dinheiro,20.0,60.0,Açaí
